year	low	share	cumul
2014	0.00000	0.000853122580645	0.000853122580645
2014	0.01000	0.00107312258065	0.00192624516129
2014	0.02000	0.00122312258065	0.00314936774194
2014	0.03000	0.00135312258065	0.00450249032258
2014	0.04000	0.00148312258065	0.00598561290323
2014	0.05000	0.00160312258065	0.00758873548387
2014	0.06000	0.00172312258065	0.00931185806452
2014	0.07000	0.00184312258065	0.0111549806452
2014	0.08000	0.00196312258065	0.0131181032258
2014	0.09000	0.00208312258065	0.0152012258065
2014	0.10000	0.00220312258065	0.0174043483871
2014	0.11000	0.00232312258065	0.0197274709677
2014	0.12000	0.00244312258065	0.0221705935484
2014	0.13000	0.00256312258065	0.024733716129
2014	0.14000	0.00267312258065	0.0274068387097
2014	0.15000	0.00279312258065	0.0301999612903
2014	0.16000	0.00291312258065	0.033113083871
2014	0.17000	0.00302312258065	0.0361362064516
2014	0.18000	0.00314312258065	0.0392793290323
2014	0.19000	0.00326312258065	0.0425424516129
2014	0.20000	0.00337312258065	0.0459155741935
2014	0.21000	0.00349312258065	0.0494086967742
2014	0.22000	0.00361312258065	0.0530218193548
2014	0.23000	0.00372312258065	0.0567449419355
2014	0.24000	0.00384312258065	0.0605880645161
2014	0.25000	0.00396312258065	0.0645511870968
2014	0.26000	0.00408312258065	0.0686343096774
2014	0.27000	0.00419312258065	0.0728274322581
2014	0.28000	0.00431312258065	0.0771405548387
2014	0.29000	0.00443312258065	0.0815736774194
2014	0.30000	0.00455312258065	0.0861268
2014	0.31000	0.00444885	0.09057565
2014	0.32000	0.00455885	0.0951345
2014	0.33000	0.00467885	0.09981335
2014	0.34000	0.00479885	0.1046122
2014	0.35000	0.00491885	0.10953105
2014	0.36000	0.00503885	0.1145699
2014	0.37000	0.00515885	0.11972875
2014	0.38000	0.00527885	0.1250076
2014	0.39000	0.00539885	0.13040645
2014	0.40000	0.00551885	0.1359253
2014	0.41000	0.00563885	0.14156415
2014	0.42000	0.00575885	0.147323
2014	0.43000	0.00587885	0.15320185
2014	0.44000	0.00599885	0.1592007
2014	0.45000	0.00611885	0.16531955
2014	0.46000	0.00623885	0.1715584
2014	0.47000	0.00635885	0.17791725
2014	0.48000	0.00647885	0.1843961
2014	0.49000	0.00660885	0.19100495
2014	0.50000	0.00674885	0.1977538
2014	0.51000	0.00644181	0.20419561
2014	0.52000	0.00658181	0.21077742
2014	0.53000	0.00673181	0.21750923
2014	0.54000	0.00689181	0.22440104
2014	0.55000	0.00705181	0.23145285
2014	0.56000	0.00722181	0.23867466
2014	0.57000	0.00740181	0.24607647
2014	0.58000	0.00758181	0.25365828
2014	0.59000	0.00777181	0.26143009
2014	0.60000	0.00797181	0.2694019
2014	0.61000	0.0076727	0.2770746
2014	0.62000	0.0078764	0.284951
2014	0.63000	0.0080898	0.2930408
2014	0.64000	0.0083129	0.3013537
2014	0.65000	0.0085457	0.3098994
2014	0.66000	0.0087882	0.3186876
2014	0.67000	0.0090307	0.3277183
2014	0.68000	0.0092926	0.3370109
2014	0.69000	0.0095642	0.3465751
2014	0.70000	0.0098455	0.3564206
2014	0.71000	0.009937	0.3663576
2014	0.72000	0.010241	0.3765986
2014	0.73000	0.0105545	0.3871531
2014	0.74000	0.010887	0.3980401
2014	0.75000	0.0112385	0.4092786
2014	0.76000	0.0115995	0.4208781
2014	0.77000	0.0119795	0.4328576
2014	0.78000	0.012388	0.4452456
2014	0.79000	0.012806	0.4580516
2014	0.80000	0.0132525	0.4713041
2014	0.81000	0.0137275	0.4850316
2014	0.82000	0.0142215	0.4992531
2014	0.83000	0.0147535	0.5140066
2014	0.84000	0.0153235	0.5293301
2014	0.85000	0.0159315	0.5452616
2014	0.86000	0.0165775	0.5618391
2014	0.87000	0.01729	0.5791291
2014	0.88000	0.018069	0.5971981
2014	0.89000	0.018943	0.6161411
2014	0.90000	0.0199215	0.6360626
2014	0.91000	0.0206181	0.6566807
2014	0.92000	0.021948	0.6786287
2014	0.93000	0.0235755	0.7022042
2014	0.94000	0.0256494	0.7278536
2014	0.95000	0.0283557	0.7562093
2014	0.96000	0.0321222	0.7883315
2014	0.97000	0.0377766	0.8261081
2014	0.98000	0.0477183	0.8738264
2014	0.99	0.1270566	1.000883
