year	low	share	cumul
2014	0.00000	-0.00008	-0.00008
2014	0.01000	0.00014	0.00006
2014	0.02000	0.00029	0.00034
2014	0.03000	0.00042	0.00076
2014	0.04000	0.00055	0.00131
2014	0.05000	0.00067	0.00198
2014	0.06000	0.00079	0.00277
2014	0.07000	0.00091	0.00368
2014	0.08000	0.00103	0.00472
2014	0.09000	0.00115	0.00587
2014	0.10000	0.00127	0.00714
2014	0.11000	0.00139	0.00853
2014	0.12000	0.00151	0.01004
2014	0.13000	0.00163	0.01166
2014	0.14000	0.00174	0.01341
2014	0.15000	0.00186	0.01527
2014	0.16000	0.00198	0.01724
2014	0.17000	0.00209	0.01934
2014	0.18000	0.00221	0.02155
2014	0.19000	0.00233	0.02387
2014	0.20000	0.00244	0.02632
2014	0.21000	0.00256	0.02888
2014	0.22000	0.00268	0.03156
2014	0.23000	0.00279	0.03435
2014	0.24000	0.00291	0.03726
2014	0.25000	0.00303	0.04029
2014	0.26000	0.00315	0.04344
2014	0.27000	0.00326	0.04670
2014	0.28000	0.00338	0.05008
2014	0.29000	0.00350	0.05358
2014	0.30000	0.00362	0.05720
2014	0.31000	0.00374	0.06094
2014	0.32000	0.00385	0.06479
2014	0.33000	0.00397	0.06876
2014	0.34000	0.00409	0.07286
2014	0.35000	0.00421	0.07707
2014	0.36000	0.00433	0.08140
2014	0.37000	0.00445	0.08584
2014	0.38000	0.00457	0.09041
2014	0.39000	0.00469	0.09510
2014	0.40000	0.00481	0.09990
2014	0.41000	0.00493	0.10483
2014	0.42000	0.00505	0.10987
2014	0.43000	0.00517	0.11504
2014	0.44000	0.00529	0.12033
2014	0.45000	0.00541	0.12573
2014	0.46000	0.00553	0.13126
2014	0.47000	0.00565	0.13691
2014	0.48000	0.00577	0.14268
2014	0.49000	0.00590	0.14858
2014	0.50000	0.00604	0.15462
2014	0.51000	0.00618	0.16079
2014	0.52000	0.00632	0.16712
2014	0.53000	0.00647	0.17359
2014	0.54000	0.00663	0.18022
2014	0.55000	0.00679	0.18702
2014	0.56000	0.00696	0.19398
2014	0.57000	0.00714	0.20112
2014	0.58000	0.00732	0.20844
2014	0.59000	0.00751	0.21595
2014	0.60000	0.00771	0.22366
2014	0.61000	0.00791	0.23157
2014	0.62000	0.00812	0.23969
2014	0.63000	0.00834	0.24803
2014	0.64000	0.00857	0.25660
2014	0.65000	0.00881	0.26541
2014	0.66000	0.00906	0.27446
2014	0.67000	0.00931	0.28378
2014	0.68000	0.00958	0.29336
2014	0.69000	0.00986	0.30322
2014	0.70000	0.01015	0.31337
2014	0.71000	0.01046	0.32383
2014	0.72000	0.01078	0.33461
2014	0.73000	0.01111	0.34572
2014	0.74000	0.01146	0.35719
2014	0.75000	0.01183	0.36901
2014	0.76000	0.01221	0.38122
2014	0.77000	0.01261	0.39383
2014	0.78000	0.01304	0.40687
2014	0.79000	0.01348	0.42035
2014	0.80000	0.01395	0.43430
2014	0.81000	0.01445	0.44875
2014	0.82000	0.01497	0.46372
2014	0.83000	0.01553	0.47925
2014	0.84000	0.01613	0.49538
2014	0.85000	0.01677	0.51215
2014	0.86000	0.01745	0.52960
2014	0.87000	0.01820	0.54780
2014	0.88000	0.01902	0.56683
2014	0.89000	0.01994	0.58676
2014	0.90000	0.02097	0.60773
2014	0.91000	0.02217	0.62990
2014	0.92000	0.02360	0.65350
2014	0.93000	0.02535	0.67886
2014	0.94000	0.02758	0.70643
2014	0.95000	0.03049	0.73692
2014	0.96000	0.03454	0.77146
2014	0.97000	0.04062	0.81208
2014	0.98000	0.05131	0.86339
2014	0.99	0.13662	1.00000
