year	low	share	cumul
2014	0.00000	-0.00068	-0.00068
2014	0.01000	-0.00031	-0.00099
2014	0.02000	-0.00011	-0.00110
2014	0.03000	-0.00001	-0.00111
2014	0.04000	0.00005	-0.00106
2014	0.05000	0.00026	-0.00080
2014	0.06000	0.00044	-0.00036
2014	0.07000	0.00061	0.00025
2014	0.08000	0.00078	0.00103
2014	0.09000	0.00091	0.00194
2014	0.10000	0.00104	0.00298
2014	0.11000	0.00116	0.00414
2014	0.12000	0.00126	0.00540
2014	0.13000	0.00135	0.00675
2014	0.14000	0.00144	0.00819
2014	0.15000	0.00154	0.00973
2014	0.16000	0.00163	0.01136
2014	0.17000	0.00173	0.01309
2014	0.18000	0.00182	0.01491
2014	0.19000	0.00193	0.01684
2014	0.20000	0.00203	0.01887
2014	0.21000	0.00213	0.02100
2014	0.22000	0.00222	0.02322
2014	0.23000	0.00232	0.02554
2014	0.24000	0.00243	0.02797
2014	0.25000	0.00253	0.03050
2014	0.26000	0.00263	0.03313
2014	0.27000	0.00274	0.03587
2014	0.28000	0.00285	0.03872
2014	0.29000	0.00296	0.04168
2014	0.30000	0.00306	0.04474
2014	0.31000	0.00316	0.04790
2014	0.32000	0.00326	0.05116
2014	0.33000	0.00338	0.05454
2014	0.34000	0.00349	0.05803
2014	0.35000	0.00361	0.06164
2014	0.36000	0.00372	0.06536
2014	0.37000	0.00383	0.06919
2014	0.38000	0.00395	0.07314
2014	0.39000	0.00408	0.07722
2014	0.40000	0.00420	0.08142
2014	0.41000	0.00433	0.08575
2014	0.42000	0.00447	0.09022
2014	0.43000	0.00460	0.09482
2014	0.44000	0.00473	0.09955
2014	0.45000	0.00488	0.10443
2014	0.46000	0.00503	0.10946
2014	0.47000	0.00518	0.11464
2014	0.48000	0.00533	0.11997
2014	0.49000	0.00549	0.12546
2014	0.50000	0.00565	0.13111
2014	0.51000	0.00580	0.13691
2014	0.52000	0.00597	0.14288
2014	0.53000	0.00613	0.14901
2014	0.54000	0.00629	0.15530
2014	0.55000	0.00646	0.16176
2014	0.56000	0.00664	0.16840
2014	0.57000	0.00683	0.17523
2014	0.58000	0.00701	0.18224
2014	0.59000	0.00719	0.18943
2014	0.60000	0.00737	0.19680
2014	0.61000	0.00757	0.20437
2014	0.62000	0.00777	0.21214
2014	0.63000	0.00796	0.22010
2014	0.64000	0.00816	0.22826
2014	0.65000	0.00837	0.23663
2014	0.66000	0.00859	0.24522
2014	0.67000	0.00882	0.25404
2014	0.68000	0.00905	0.26309
2014	0.69000	0.00928	0.27237
2014	0.70000	0.00951	0.28188
2014	0.71000	0.00975	0.29163
2014	0.72000	0.01000	0.30163
2014	0.73000	0.01026	0.31189
2014	0.74000	0.01053	0.32242
2014	0.75000	0.01084	0.33326
2014	0.76000	0.01115	0.34441
2014	0.77000	0.01150	0.35591
2014	0.78000	0.01189	0.36780
2014	0.79000	0.01227	0.38007
2014	0.80000	0.01268	0.39275
2014	0.81000	0.01309	0.40584
2014	0.82000	0.01352	0.41936
2014	0.83000	0.01398	0.43334
2014	0.84000	0.01447	0.44781
2014	0.85000	0.01502	0.46283
2014	0.86000	0.01564	0.47847
2014	0.87000	0.01632	0.49479
2014	0.88000	0.01710	0.51189
2014	0.89000	0.01799	0.52988
2014	0.90000	0.01897	0.54885
2014	0.91000	0.02013	0.56898
2014	0.92000	0.02151	0.59049
2014	0.93000	0.02322	0.61371
2014	0.94000	0.02545	0.63916
2014	0.95000	0.02852	0.66768
2014	0.96000	0.03306	0.70074
2014	0.97000	0.04075	0.74149
2014	0.98000	0.05656	0.79805
2014	0.99	0.202	1.00005
